岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
数据建模,https://www.zhipin.com/job_detail/a202e7b2d3629b1a1Xxz3t6_FVtQ.html?lid=57ut4iy7EUS.search.267&securityId=P7v7Z2dHdU9ck-d1jvxFCUsydLWgt2af0uWveeSI7rdWjEdSjCXdWVX_PNa3VK9jsJalaj2fI8AA5sW_HDdFhVm5jm0ViNbc6DQc1NmyWmrUdV7Fvmw~&sessionId=,20-25K·13薪,上海全成,上海,5-10年,本科,Python R 数学/统计相关专业 计算机相关专业,未融资,100-499人,通信/网络设备,零食下午茶 餐补 员工旅游 带薪年假 年终奖 全勤奖 五险一金
数据算法工程师,https://www.zhipin.com/job_detail/b19d39a4eceead191Xx-09S-F1BT.html?lid=57ut4iy7EUS.search.268&securityId=vilIpZe6xXkI4-F1RmRT3qoxy-Y6JS9P-isI1glvkb-1JcccAGXKtCjmC3opFh8eggK2FPXfTKcABb1zlO_LMjzMjY4C885LkPSQVQ1axSj0P4AGIw~~&sessionId=,20-30K·15薪,上海华虹计通,上海,5-10年,硕士,数学/统计相关专业 机器学习经验 数据挖掘 数据分析,已上市,100-499人,计算机软件,交通补助 通讯补贴 餐补 带薪年假 年终奖 定期体检 补充医疗保险 五险一金
数据治理,https://www.zhipin.com/job_detail/9cc1691c0ada2c471XFz39-7EVRR.html?lid=57ut4iy7EUS.search.271&securityId=-lx4ZSSoldF9H-b1d-9o3YtHBwQsayhP_3oh-ODtGf3sYGV1oOUd_LI71CrcwBvVTFI2UPodX7DAVF8UBe24EnK9mJ5Hs1H7wMNA4622FXAXPuOlEwUV&sessionId=,26-30K·13薪,橘彩网络,上海,5-10年,大专,数据分析/挖掘经验 数据质量 元数据管理 数据安全,未融资,0-20人,计算机服务,
漏洞挖掘工程师,https://www.zhipin.com/job_detail/18b9289bd959aa181XN92ti9GVBS.html?lid=57ut4iy7EUS.search.272&securityId=UGCRGAz8CBJzo-C1pZ1Ho6WOAReLIu6Ks4rMAJApYhxkvXFxs8B-6EwD6yGrnyzwLqudqGBFUxGvLQ31-4zYmla7RjGIrbQGG2RgVBX0fE97gFE4xSo~&sessionId=,20-40K·15薪,螣龙安科,上海,3-5年,本科,二进制 漏洞挖掘,A轮,100-499人,信息安全,交通补助 节日福利 住房补贴 团建聚餐 零食下午茶 餐补 包吃 员工旅游 带薪年假 全勤奖 工龄奖 节假日加班费 加班补助 股票期权 保底工资 年终奖 定期体检 五险一金
bi数据经理,https://www.zhipin.com/job_detail/9a682958d92e989c1HR42d26EFpV.html?lid=57ut4iy7EUS.search.273&securityId=h0xDGwC57Rv2m-V1Xghy3ghAVRaMhdr9ihQ2lRcLZf_OsLi344OwxhEhDNqWJsZh2FtKlHES2wXE9WgAGoBYX26yQjeZ6f2wkWRC6vTsQeOAqVkaNtoecR7QTXBGXIyz6VuAkLgEyVa6fcGJwsI54A~~&sessionId=,25-35K,中广资本,上海,3-5年,本科,金融行业数据相关经验,未融资,500-999人,互联网金融,交通补助 生日福利 节日福利 高温补贴 通讯补贴 住房补贴 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 夜班补助 底薪加提成 绩效奖金 年终奖 五险一金
数据工程师,https://www.zhipin.com/job_detail/e29fb85d98acbd011X1y2tW-FldR.html?lid=57ut4iy7EUS.search.276&securityId=N8UIIMRVJXkXa-v1b3la9U_w0gjRp8urFNlStPGeoPnWkY642VqrWam7H_Ay_f7ARNwpXyL1k0WDF171Bz-FIViXbJGZP5uJbIb8pW-bEPkJ1Otn&sessionId=,10-15K·14薪,脉策科技,上海,3-5年,本科,Python SQL 计算机相关专业 数学/统计相关专业,B轮,100-499人,互联网,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 节日福利 人才引进落户
数据分析(J18435),https://www.zhipin.com/job_detail/48af5cf29d59b6501X1z3tq6FVRU.html?lid=57ut4iy7EUS.search.277&securityId=SlbxKhpkKdxoz-B1ZfceSRb0TxY9YUs3jVMmLwEqr7TjdsNdqZtUa89tOe5MBVkv2xXWzAY_GK5m2tDc0JxbO2G6aZLoMWQnwcdgQO-oLuZt6LPm&sessionId=,14-20K·13薪,上海来伊份,上海,5-10年,本科,数学/统计相关专业 数据分析/挖掘经验 电商/零售行业数据相关经验,已上市,10000人以上,生活服务,五险一金 定期体检 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
数据咨询,https://www.zhipin.com/job_detail/ba5191f5727082d51Xd_2d64EFVR.html?lid=57ut4iy7EUS.search.278&securityId=jFBHCrklegCco-n1-xfPCjv63ke7n0I_YihpCgv0T_Bu4DuUorGpvSJtKRrmaPu8Yul4N9t7TG34s8gJadch8vyMyCf3P9PERjEXS_poj_mjrjhjHSw~&sessionId=,20-30K·13薪,某大型数据服务公司,上海,3-5年,大专,Excel 数据银行 京东数坊 天猫 电商 数据咨询 人群运营,,,,节日福利 零食下午茶 餐补 带薪年假 绩效奖金 年终奖 定期体检 补充医疗保险 五险一金
高级大数据开发工程师,https://www.zhipin.com/job_detail/03d643672a69a6881Xx_09S0GVZR.html?lid=57ut4iy7EUS.search.281&securityId=HOF3jHQxMK3Gq-31xyS1G2AY6AmPcKC5LLpDtMbo61Xd1F8a2ab420uqEc6kXkSiH0xbGjOFFglL4iPJc2_7l7Nb9jKbMDCxfdflRJAiKdj4iyR04JlU&sessionId=,20-35K·15薪,卫瓴科技,上海,3-5年,本科,Flink Spark Python 大数据开发经验 数据挖掘 关系型数据库 NoSQL数据库,A轮,100-499人,互联网,五险一金 补充医疗保险 定期体检 加班补助 年终奖 股票期权 带薪年假 员工旅游 免费班车 餐补 通讯补贴 交通补助 节日福利 零食下午茶
数据分析师,https://www.zhipin.com/job_detail/d00041073fa4900d1Xd93t6-EFZX.html?lid=57ut4iy7EUS.search.282&securityId=xqbIz2SMQUvNo-i1O3s5BT4uyuOQx_VuuuqRBY-08F_EfkBpeTTwpzgkglNTJ3lwarhI_pqld0Vk4EC8xIelKm20ZhRnKks2IvxrIrN9jh6ekCQmR-w~&sessionId=,12-24K·14薪,友塔游戏,上海,1-3年,本科,Python SQL R 数学/统计相关专业 数据分析/挖掘经验,不需要融资,1000-9999人,游戏,丰富趣味活动 私人定制导师 大佬零距离 超大晋升空间 房补 五险一金 定期体检 年终奖 带薪年假 餐补 零食下午茶 节日福利 交通补助
数据分析专家,https://www.zhipin.com/job_detail/59ce0898099b68cd1Xd82tu5EFtW.html?lid=57ut4iy7EUS.search.283&securityId=YmXiu3TSBF-Ua-r1cPllPh6NMfxDDWljMDoDRbx4SQ2Dyl5eG3ZX-siyn_EVl2amE_vxjqrjI51yJFuexdsWBLo5fEGRw_hoYqnr5aORSA27IQSA&sessionId=,25-30K·16薪,某500强上市公司,上海,经验不限,本科,业务数据分析 BI平台建设 平台类产品 Hive R PowerBI 统计/数学相关专业 计算机相关专业 Tableau 数据分析/商业分析经验 SQL,,,,五险一金 加班补助 年终奖 股票期权 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 零食下午茶
数据洞察分析岗,https://www.zhipin.com/job_detail/b66ab2334d5e3b501Xx40ti9ElFT.html?lid=57ut4iy7EUS.search.286&securityId=kuy5dAAS1wVwD-V1t5Ke59izXqbcmO5NDE3LyE8Ufps-bHw3a-iCx8FWW1GGJdAVGzoCmco3SxDuHrDejuCXhsCXErOSLuWz4TT376g5ov_BCUtu2w~~&sessionId=,15-25K·13薪,天津顶连,上海,3-5年,本科,Python SQL,不需要融资,10000人以上,餐饮,五险一金 加班补助 全勤奖 年终奖 带薪年假 员工旅游 节日福利
大数据架构师,https://www.zhipin.com/job_detail/4a4957c937f914711nR_3NW0F1JQ.html?lid=57ut4iy7EUS.search.287&securityId=CS1R-DUpESHwX-N1QDR3ngs0yw_ix5qJzFhNzIfz169NVaoLF5zkgwuHn3GTcV9tuKGkYNweth7lfraewcqXxhvvi7dmFlHs4MOl1hcQltcPLzwf&sessionId=,30-50K·13薪,品上生活网络,上海,5-10年,本科,数据架构师 数据仓库 数据挖掘 ETL 数据开发 数据分析,不需要融资,20-99人,电子商务,生日福利 餐补 带薪年假 年终奖 五险一金
数据分析专员（英语）,https://www.zhipin.com/job_detail/c3d9562db0e0b1f21HR62dm9FFBU.html?lid=57ut4iy7EUS.search.288&securityId=ccQDInwR3kXq5-g1uidl1d9SoZ8CghQjqOv1BLxDsADq6w2X2Y45AsoFk0nuaMY40--1P5705_5PorEUid4bVt4y_TWVZuqG5Xk02MzVYk9XpVw53nM~&sessionId=,18-28K·16薪,上海欧数信息科技,上海,1-3年,硕士,数学/统计相关专业 计算机相关专业 金融行业数据相关经验,,20-99人,互联网金融,团建聚餐 带薪年假 股票期权 绩效奖金 年终奖 定期体检 五险一金
数据开发,https://www.zhipin.com/job_detail/eb402f6bd99effdb1Xx72dy0F1JY.html?lid=57ut4iy7EUS.search.293&securityId=7KA5hOWjfZ7k2-c1o9oaeCQMxqq9v1WQio0SSt0WECYt13gRu3Pmwt8_MbNYUlPht6TinSvuI0NMRxasDdgik0H5hyGGcPu0uPmpIxXrE1xUWTm1BQ~~&sessionId=,20-29K,某大型知名互联网金融上市公司,上海,1-3年,本科,Java C++ 大数据开发经验,,,,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 包吃 节日福利 住房补贴 零食下午茶
