岗位名称,岗位详情地址,薪资,公司名称,工作地点,经验要求,学历要求,岗位描述,公司融资情况,公司人数,公司行业,福利待遇
挖掘机修理工,https://www.zhipin.com/job_detail/40ec6b5390a73cc91XZy3Nq7E1BR.html?lid=4GheoLrpdiX.search.53&securityId=sWI7dC0EEx1f2-91N6B-BphsQ_2ZoYZZDQ6DYYQmAe64eKrTjqOJKxHQ0iTa7CE-J68tjc9RD_olxLue9dl5BxqUtm9YSklrFaTl-5uOgknQutQVCQ~~&sessionId=,5-10K,纵龙机械,长沙,1-3年,初中及以下,汽车维修 综合维修 机械设备维修 电气设备维修,不需要融资,20-99人,机械设备/机电/重工,五险一金 餐补 通讯补贴 包吃 节日福利
数据/策略运营,https://www.zhipin.com/job_detail/573378702c8da03f1Xx50964GVZZ.html?lid=4GheoLrpdiX.search.54&securityId=2klBpLnKx7rCw-z1oVkNXZqNJMfpmyykhKlgkHPDveziu4PzLAUUSeZos2qVWh_p_LAYjnN4d3nRGPJ0s_VRmSKYNbvC3JbMeBgD9Tiep7livwGnkkM~&sessionId=,10-12K,兴盛优选,长沙,1-3年,大专,业务数据分析 业务模式/运营策略优化 数据分析/商业分析经验 SQL Tableau/Power BI,D轮及以上,10000人以上,电子商务,五险一金 年终奖 股票期权 免费班车 餐补 节日福利 住房补贴 零食下午茶 健身房 多样化食堂
数据结构算法讲师,https://www.zhipin.com/job_detail/131fa5a7a7e1e44d1HR72tu7FVdR.html?lid=4GheoLrpdiX.search.55&securityId=AFdh_ejt6zCdF-l1tI4Dq2KnHJjg3wj6vzBHdICWiyN3FslCwCXyt3ps6PCP-eVHjXGrBVjfVKCe1_7QyJuz9tQYB5yXluc8SDpGbv_QwQuoqV8y4sQ~&sessionId=,20-40K,马士兵(北京)教...,长沙,经验不限,本科,无明显侧重,不需要融资,100-499人,在线教育,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据分析员（5-7K+不加班+餐补）,https://www.zhipin.com/job_detail/f33c05eaf5002d3f1XF_3d-1EVFZ.html?lid=4GheoLrpdiX.search.56&securityId=eTLG44t8nXp0s-l1JLjfwN8rfVG11K8e9WQqFsiMUMN1Yhz-tSW0k9k9zqJXPNZ3IxqqtqwMnVRvM2ChMPZk4tf1K2vvHnTlxio12zwv_WMlpSgzc0Zg&sessionId=,5-7K,知学术,长沙,经验不限,硕士,机器学习建模经验 数据分析 数据分析师 数据分析/挖掘经验 应用数学 Tableau SQL Python 数学/统计相关专业,不需要融资,0-20人,学术/科研,五险一金 定期体检 全勤奖 年终奖 带薪年假 员工旅游 餐补 交通补助 节日福利 零食下午茶
大数据运维,https://www.zhipin.com/job_detail/93af5a9ef76f3ef71Xxz3dq4FlVY.html?lid=4GheoLrpdiX.search.57&securityId=-J-IuyBb5SF2b-C1FTtXJijP6dTmG-zMt4Xa9UUBd16H4c4U3VqOpk14vHris07Z0RkM6mjk4F-lkge4QDkk_JZSh2latWGGqCP_U40kpbZeBABh&sessionId=,8-10K,浩瀚深度,长沙,1-3年,大专,运维开发/DevOps 大数据运维经验,已上市,100-499人,通信/网络设备,生日福利 团建聚餐 餐补 法定节假日三薪 股票期权 保底工资 绩效奖金 定期体检 意外险 补充医疗保险 五险一金
数据运营专员,https://www.zhipin.com/job_detail/7359aaae47984e5c1XN_3di6GVZR.html?lid=4GheoLrpdiX.search.58&securityId=UKKWgHOUIWDjD-k1E85Cqsib61rDuy_ALdM2KbGVDC9AbrItsOmtLPqV8km1LPD-AeD62ySVxYF48VNNDBLgTrEhTHX9oYsPdG8NI1zYJU-iRwtTNQ~~&sessionId=,5-7K,北京大伟嘉,长沙,1-3年,大专,统计/数学相关专业 计算机相关专业 金融/经济相关专业,未融资,1000-9999人,农/林/牧/渔,五险一金 补充医疗保险 定期体检 加班补助 年终奖 带薪年假 员工旅游 餐补 通讯补贴 节日福利 团队聚餐
数据分析,https://www.zhipin.com/job_detail/f9554476c72fda911Xx53N68F1tU.html?lid=4GheoLrpdiX.search.59&securityId=EFXequZbm70vx-m1BNQ2AavdLjBxr9cKgdvv3xBjCJkrVZxp3976R3z-ExyisCgh0s6Ang7nG1_s-gc5nFJ1dYfcqc8lvOQjKr70dSMtN77SxK_u55c~&sessionId=,7-10K·13薪,荣耀终端有限公司,长沙,3-5年,大专,SQL Python 数据分析/挖掘经验,不需要融资,10000人以上,消费电子,五险一金 通讯补贴 节日福利 免费班车 零食下午茶 带薪年假 加班补助 股票期权 年终奖 定期体检 补充医疗保险
数据专员（技术客服岗）,https://www.zhipin.com/job_detail/7a76e5381393f30c1Xx83dm5ElpR.html?lid=4GheoLrpdiX.search.60&securityId=l8ejXvHikCVa4-b1B508Wta1t0_AD8S_Y_23PsSDJOP2NsnEdLknNNMbBP948Fq4CgdU32GZx3PMmAx1tjWPikur8JYKmTYs14n9Bq-WSJ5Dmelg&sessionId=,4-5K,四川准达,长沙,经验不限,本科,数据库,未融资,1000-9999人,通信/网络设备,五险一金 定期体检 带薪年假 生日福利 节日福利 通讯补贴 意外险
数据分析师/15K,https://www.zhipin.com/job_detail/5f0b20b394c5ffcf1HR42tS1FlNY.html?lid=4GheoLrpdiX.search.61&securityId=ORRz68kFIG1iq-n1EuTI-zRjoh1TUpTagyLhLWDAEK1IxsBPtaXeInDrdBgQ8phV9OaN1yxD5_jiafMsWvdNSivuZHzwgAibOBoLQApVc5Is6Z2FHiEg&sessionId=,15-16K,华犇信息,长沙,3-5年,本科,Python,,1000-9999人,互联网,
数据挖掘与分析岗,https://www.zhipin.com/job_detail/5f661204857e0cc51X1929-5F1ZS.html?lid=4GheoLrpdiX.search.62&securityId=F8mvYWukmHA8i-b1sCd2FDeo6VrWwqwuNrIX2D93AL8seolEFkHjO1hLKcX7TEgzuiJlLwt-dNRZ24wR7vY1yFHEuOfbhXl2l0jKFVog43HpmEoovQ~~&sessionId=,20-30K·15薪,某银行公司,长沙,1-3年,本科,SQL R SAS,,,,
数据统计专员,https://www.zhipin.com/job_detail/213bc29f986091f91Xd82N69F1RZ.html?lid=4GheoLrpdiX.search.63&securityId=SBg9M4K448WG3-u1q5WNYV9KK9q-bBfyOgfKnQTDb7M7hirEdHHfaYkoUZDpfYuNJY0eoFHiD2z6Kffjy5y95-9p2iNl2I_bpulhptEMxcx6E7UT5sU~&sessionId=,10-13K,新盛银合,长沙,经验不限,大专,数据统计,未融资,20-99人,计算机服务,员工旅游 带薪年假 底薪加提成 年终奖 五险一金
数据分析工程师,https://www.zhipin.com/job_detail/4f380306a89f51ea1XF72Nq6F1FY.html?lid=4GheoLrpdiX.search.64&securityId=JzIGnZeFzx_L3-q1XdG4aHNl4YOL4wJV2NjnnPFHmk8jovSqknisBCPnx8p3C_EAKDPLLx7VVD8BXrarNc921c_AFr8g6oVEH4mgI23V5cF6soEw&sessionId=,10-15K·14薪,湖南北云科技有限公司,长沙,经验不限,本科,SQL Python MATLAB 计算机相关专业 数据分析 测试数据分析,B轮,100-499人,移动互联网,生日福利 节日福利 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 工龄奖 股票期权 绩效奖金 年终奖 五险一金
数据挖掘与分析工程师,https://www.zhipin.com/job_detail/cbdb46baf666af8e1X1z29q9ElRR.html?lid=4GheoLrpdiX.search.65&securityId=ZoO9ID2C3V5R_-O1eenuJGPXhDfXuQ1TyDJNl_Dcjk7N2HQ2swRsmgex5m18V8n4FOFwQAAtEonAzhbEjCoEdehay5o7KDrOr4hjOP3qlIW4gOg0&sessionId=,20-40K·13薪,某国内知名互联网金融公司,长沙,经验不限,本科,Python SQL R,,,,交通补助 节日福利 免费班车 住房补贴 团建聚餐 零食下午茶 餐补 包吃 员工旅游 带薪年假 法定节假日三薪 节假日加班费 加班补助 股票期权 绩效奖金 年终奖 定期体检 意外险 补充医疗保险 五险一金
数据服务（长沙）,https://www.zhipin.com/job_detail/cb6a42062bacd34f1X182N24ElBS.html?lid=4GheoLrpdiX.search.66&securityId=mFKvm3jo_CXEd-y1rBgwTbpx2SFGuB2zJU2RGvrsjaQO1XMrZxSFunNJoWxFXfx79oc_v4m9sBiCvfcZ9mbergfnUkJGFNMRhlVme3atTf7Yv2Q0Vhtx&sessionId=,5-8K,沃思科技,长沙,经验不限,本科,Python SQL Hive 大数据开发经验 数仓建设经验 计算机相关专业 linux 开发 数据库,未融资,20-99人,互联网,零食下午茶 带薪年假 全勤奖 五险一金
数据文员,https://www.zhipin.com/job_detail/873719ccfead8ccb1HR_2NS_EldY.html?lid=4GheoLrpdiX.search.67&securityId=RabFBSLeUCy5c--1Fg8zfNwjpjExLKcxwFdiFNpmhad8Rz1aRMyvBGH3asGitEASJ-vp99_1WAArnaStCGj4QDJp9Oa_Dx8NgkwWRIXnS_lPd2abrzuJ&sessionId=,4-6K,易顺集团,长沙,经验不限,中专/中技,文员,,100-499人,银行,零食下午茶 节日福利 五险一金
商业数据分析,https://www.zhipin.com/job_detail/0a90f34b64e2605e1HR7296-GFFX.html?lid=4GheoLrpdiX.search.68&securityId=Mv3ky1ZqIyrDB-f1MUbb1a4nJ0lCXbGO5RsH_d7Thz9qSiNXvDDRwnZ44zmqkWrq_RWnOgs32XzdX1GIc9AiiyjrmPfTNNUnMF1vjCwRlt6D7O2Tgw6V0ADawFwNbgraLw48fpOYy7dxw9VNvDef0A~~&sessionId=,4-6K,小智时代,长沙,经验不限,本科,业务数据分析 业务模式/运营策略优化,,20-99人,电子商务,有无线网 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 工龄奖 加班补助 底薪加提成 保底工资 绩效奖金 年终奖 定期体检 五险一金
数据清理、预处理工程师,https://www.zhipin.com/job_detail/818392d4673583951XN839-9EVBY.html?lid=4GheoLrpdiX.search.69&securityId=LdKt9njg_JEdJ-f1bYZsu_BL3ZaKojIuJ9tTzQTkBvCBwSc2ZBBxLeDFWIgA44jeBn6m3xjfiqZONuN9KpfOhs3mIxlbjf9yeYmQeFu9QJliNH-FnZlx&sessionId=,10-11K,湘江实验室,长沙,经验不限,本科,Python C/C++ MySQL 计算机相关专业 数学/统计相关专业 爬虫经验 数据开发 爬虫 后端 分布式计算 数据挖掘 数据清洗,不需要融资,100-499人,其他行业,住房补贴 团建聚餐 餐补 加班补助 保底工资 绩效奖金 年终奖 定期体检 五险一金
商业数据分析师,https://www.zhipin.com/job_detail/139c0a479b5803d01HR43ti0EVtR.html?lid=4GheoLrpdiX.search.70&securityId=IabWULsFx2V0H-C1EHu8bmHsHx0X0NTZ8PdozIhKjYnAV6ZA_jfkfw8rSy8EnOX2K1UUupS7rvtePrY3FB_wiE_pVAxdgR_Xe_4PPvoB9BOjyYAe&sessionId=,8-13K,惠农网,长沙,1-3年,大专,Hive SQL 数据分析/挖掘经验 电商/零售行业数据相关经验 计算机相关专业,未融资,100-499人,互联网,生日福利 节日福利 高温补贴 免费工装 团建聚餐 员工旅游 带薪年假 全勤奖 工龄奖 股票期权 绩效奖金 年终奖 意外险 补充医疗保险 五险一金
数据挖掘与分析岗（金融 银行）,https://www.zhipin.com/job_detail/578fd8c9a7868e141X1709W7E1dZ.html?lid=4GheoLrpdiX.search.71&securityId=DCMY1sth3mRsh-11tYF8BhuujGJ5gSNhyszOQt1iw5hnzXW8LEZKlUMSyXH8oowDiQbXmWeFbk2LM2X2on6LwCFNrTleQ5Y0_UGlewh6jTzsIrKqkjAH&sessionId=,30-60K,某大型互联网金融公司,长沙,1-3年,硕士,R Python SQL 计算机相关专业 数据分析/挖掘经验 金融行业数据相关经验 征信数据源的数据测试 SAS 金融 统计 风控模型  风控策略,,,,交通补助 生日福利 节日福利 高温补贴 通讯补贴 免费班车 免费工装 团建聚餐 零食下午茶 餐补 员工旅游 带薪年假 企业年金 保底工资 绩效奖金 年终奖 定期体检 意外险 补充医疗保险 五险一金
系统数据专员,https://www.zhipin.com/job_detail/ec9dfd44af8246681X1z2dW5E1pS.html?lid=4GheoLrpdiX.search.72&securityId=NC-UtYy8V9MF2-Y1EHFrafUGBZAsl90LZY_mOXM-kywsEkpuCVHOI0otdlAZCsIQPZ1uGNBjrg3exFekri-Xg8S_z-fFJ_91Pj4bcKQN24sByaOyqfs~&sessionId=,5-7K,美食佳团膳,长沙,1-3年,大专,数据分析/挖掘经验 金融行业数据相关经验 风控相关经验,不需要融资,500-999人,餐饮,生日福利 节日福利 团建聚餐 零食下午茶 包吃 员工旅游 带薪年假 全勤奖 工龄奖 底薪加提成 保底工资 绩效奖金 年终奖 五险一金
数据分析（政策）,https://www.zhipin.com/job_detail/8214c3f926a862f11nx-3d-_E1BQ.html?lid=4GheoLrpdiX.search.73&securityId=Zc3d50NmRoV71-N1BSrupDBfxwKD2_7I52wGSNV6M-zATgmTeglc5LxBGX--vxVRowYia6oxo2QvXK6BqNj_fZgSymsYPJNqZQbyGkOWEQKF5XdcdtU~&sessionId=,7-12K·13薪,正和伟业,长沙,1-3年,本科,Excel 政策 OTA 机票 数据分析,,20-99人,电子商务,五险一金 年终奖 股票期权 带薪年假 节日福利 住房补贴 包住 团建聚餐 零食下午茶 夜班补助 底薪加提成 包住
数据处理,https://www.zhipin.com/job_detail/2562bb9d0c806ec01HR_3dy5FltU.html?lid=4GheoLrpdiX.search.74&securityId=WD7y157CBj45_-d1M33qOG1ktBBgR3ThAfNePhqB_NSiXwdER6Q50RWKbGnK32jnnEosvmLxlGG5ekP15mDB2aD7RCi9ugl5f-7_thqh-mdA2zfBKFM~&sessionId=,3-4K,数道,长沙,经验不限,学历不限,全职 兼职 坐班 英语可作为工作语言 小语种,,0-20人,电子商务,
数据清洗专员【残障人士优先】,https://www.zhipin.com/job_detail/93695d8270e2ab081X1_09u0GVVQ.html?lid=4GheoLrpdiX.search.75&securityId=T02UYNShbn2TZ-h1rs_HjSNgpPMSN8cHbqvaMeKQ6c9yy9X-PxeeZbVj_DRBbZtr5tr8V11vX7AYGlLOUNY_D5VybGYOIG5m3pfEi7H2nYJLFfS4NGw~&sessionId=,4-5K,中项永达科技,长沙,1年以内,大专,审稿能力 数据录入,未融资,100-499人,互联网,五险一金 补充医疗保险 全勤奖 年终奖 股票期权 带薪年假 员工旅游 节日福利 生日福利 团建聚餐 工龄奖 加班补助 底薪加提成 保底工资 绩效奖金 意外险
数据统计专员,https://www.zhipin.com/job_detail/031882b77b43b24f1HR82d-1EVNZ.html?lid=4GheoLrpdiX.search.76&securityId=5hTl50JzazUZu-R1MKgzSpeJiv46s_6KAtZAK8FfAZZ2ixD8HP2kg-XvnHC3U8987gb6etSTXQedlP32-22otBS5MmhLJZgYiXGyxQoBz3LfJh6QMvA~&sessionId=,3-4K,长沙问学教育,长沙,1-3年,大专,数据 excel,,100-499人,培训机构,
数据分析岗,https://www.zhipin.com/job_detail/d5d6aeaa8eba1c041XF42t64GFVS.html?lid=4GheoLrpdiX.search.77&securityId=pgeeyw78XYNMn-P1SrQSkCuAW84Jtx3kdYnwz6xLq-1lMNK1nosnGkDwesnd_yoyogi3Fxcwd1qAFpm93YcdsnHqCZyydTXAc5QsRqpYt7AN0gK4naY~&sessionId=,5-6K,天牛闪速,长沙,1-3年,本科,销售数据分析,不需要融资,100-499人,通信/网络设备,节日福利 通讯补贴 零食下午茶 带薪年假 绩效奖金 年终奖 意外险
数据挖掘（银行岗位）,https://www.zhipin.com/job_detail/a9f934fd33b1dbd31XJ93ti7F1dS.html?lid=4GheoLrpdiX.search.78&securityId=QFuL8soru2vHt-51DK129PsmijHyxErxM1jKDOMIHI2kkN2obJ28FG2Ny00FuhU_QbNnWKEZb_6rki9Eq7BAAGXLE3rjwVT1B3JmE6_JPtaoHoxxXM0~&sessionId=,20-40K·14薪,某银行公司,长沙,经验不限,硕士,Java,,,,
数据支持,https://www.zhipin.com/job_detail/246bef16dd96dfc91X1z0964ElBV.html?lid=4GheoLrpdiX.search.79&securityId=OfxaaGGByKpL_-r1mSQVEGb4CMKg6t6FqkNJ_NhXb5awkzhP4w-9qBEmD7uJEpy6sHrKEn0bznXAQS5J7Mef1Mxiu3GjtQi74JhsW1KeXlldPjMwnKoH&sessionId=,6-8K,京东五星电器,长沙,1-3年,本科,SQL Python,不需要融资,1000-9999人,批发/零售,五险一金 补充医疗保险 定期体检 年终奖 带薪年假 员工旅游 餐补 通讯补贴 节日福利 零食下午茶 绩效奖金 试用期全额
数据助理,https://www.zhipin.com/job_detail/e9dfdcb27e75d4d41HR40tm5FFpR.html?lid=4GheoLrpdiX.search.80&securityId=aIWX2lfRlzCmx-v1ADrXG_ucSE9BaG-xXpl8lHyxK89VObGGsedqtPYs50UFsB3qaHngXg5hodv5bb6CifeWCPqK-CauSfLorwb1HrLCoa06s8E8VZU~&sessionId=,3-6K,爱德沃特,长沙,经验不限,大专,业务数据分析 数据分析/商业分析经验 统计/数学相关专业 不接受居家办公,不需要融资,20-99人,广告营销,五险一金 年终奖 带薪年假 员工旅游 节日福利 零食下午茶
OE数据专家,https://www.zhipin.com/job_detail/462a2318c3f7b9251Xx829m_F1JX.html?lid=4GheoLrpdiX.search.81&securityId=YB71Tgva1bJi_-G1MTBB229tmf8Jn9aHJwU4sxonSO1JMJ-qQcSY7f4EEUjRIkrcbUaZZSN6GGP1L93QVl3ry92nk17Majukj1-O82UPSNkicTpOjwQ2tsYikmZzen-9JwJzZFviLV4zm_tlyqbgrg~~&sessionId=,20-30K,某大型电子商务公司,长沙,3-5年,大专,汽配 OE,,,,员工旅游 节日福利 生日福利 团建聚餐 底薪加提成 绩效奖金 加班调休 周三运动日
数据分析（长沙）,https://www.zhipin.com/job_detail/bbf6629caab23a591X193ti1EVBQ.html?lid=4GheoLrpdiX.search.82&securityId=2b9Wy1-RUFH34-m1GGBs9Tbz4OhEG5dE_iN_b7-JmQDVi_qVPWUJNv1aZ_nLGUoAnund4Whc-jkJHOKYGAtD0FnDUC5EUABb9FpijN39XDCOXsM~&sessionId=,6-8K,零点有数,长沙,经验不限,本科,SQL Python,已上市,500-999人,数据服务,五险一金 年终奖 带薪年假 员工旅游 餐补 节日福利 周末双休
数据采集,https://www.zhipin.com/job_detail/776fa3a2475b8fd31HR82t-7GFVV.html?lid=4GheoLrpdiX.search.83&securityId=19f2XC4UqkpSo-s1IvXRcYwuKMAMgE12y07y9uyBcFDv08pMjfTt2xgE1UPLB15Qd1tkt4o6vz7M8AvwlFLYw8qGbYykgTQxpgGXg8nrmRXUOhNEjY4~&sessionId=,15-16K,中采联合招标有限公司,长沙,3-5年,本科,爬虫工程师 数据处理经验,,20-99人,其他专业服务,五险一金 年终奖 带薪年假 员工旅游 餐补
数据收集——双休/3500,https://www.zhipin.com/job_detail/221cc65048ec4ab91HR_3Ny8GVNS.html?lid=4GheoLrpdiX.search.84&securityId=YlFwWKClUR2Fj-V119EYvmFipxWCUkrKK4XJ5TOjSmG6w4fhUKTj6VFnTTbbn9sDW4Cu1STw6xcwEF7P6-lPO4ZMlZiVGAaW2Mrgy60arpQpKleFm_8~&sessionId=,3-4K,卓越际联科技有限公司,长沙,经验不限,大专,业务数据分析,,1000-9999人,人力资源服务,
数据专员,https://www.zhipin.com/job_detail/f79bdf353d9d8dbf1HR73tq4EFJS.html?lid=4GheoLrpdiX.search.85&securityId=8UEkVTeSCb-M2-21TpS0EHh_en1bvXA-n6RpV3J5pnEYfAJ-AqNZHOtVYf_OIu8K-wURB7QeFPpvTJ1o-vNiq0NXl2p1k9bvfowLXyT4NmHEMFEhggc~&sessionId=,4-5K,湖南麦众电子商务,长沙,1-3年,学历不限,业务数据分析 财务/审计工作经验 数据分析/商业分析经验,未融资,100-499人,运营商/增值服务,生日福利 节日福利 有无线网 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 底薪加提成 保底工资 绩效奖金 年终奖 定期体检 五险一金
数据挖掘/算法工程师,https://www.zhipin.com/job_detail/68ff594d94b0dd931Xx62968GVVV.html?lid=4GheoLrpdiX.search.86&securityId=0DGhhwQZhH_cN-91hWOg0yF0YdsBcAPHzyox0mpkg6vOocf2drz6riO-xW_UsOcQusbq6RbB7W_3h-nwGtFKa86YBfliCiUsJiE77ZqWIKZ5KNygjjSd&sessionId=,15-25K,如信智能,长沙,3-5年,本科,大数据处理经验 机器学习/NLP经验 计算机相关专业 Spark 数学/统计相关专业 Python,,0-20人,计算机软件,
项目实施【数据分析】,https://www.zhipin.com/job_detail/5f9dfd773ef9b6301XNz2NW0GVFX.html?lid=4GheoLrpdiX.search.87&securityId=itOn5ntkDG3mU-T1lls1p0_OM4jjpLrlGxaW6NurP0N3UHiG6LRwS0dq_9mJdfazuTM_Z-NPX-BrI_Ka5rBSvb9VDOccRjKpo3YpAqpkkprIu-tiZUc~&sessionId=,4-9K,重庆中盾网安,长沙,1年以内,大专,Excel SQL MYSQL 警企合作项目 出差频繁,天使轮,20-99人,信息安全,节日福利 餐补 五险一金
数据专员,https://www.zhipin.com/job_detail/56abcff839c8ba331XJ73d24ElNR.html?lid=4GheoLrpdiX.search.88&securityId=Lj89x2pBeoNhF-a1zDMolfzM6k11CuQBvXpEY-JBx5ROa1-2AaMIRLjsrJGtQebbIfjVuDX7Hs3i1iHCEgRzi5r3NzTTVaeExcbTlzufEEahjOXqGWj9&sessionId=,7-8K·13薪,长沙上善若水日用...,长沙,3-5年,大专,Power BI,未融资,100-499人,服装/纺织/皮革,生日福利 节日福利 宿舍有空调 包住 零食下午茶 餐补 带薪年假 绩效奖金 年终奖 五险一金
数据工程师,https://www.zhipin.com/job_detail/486fcacb93b6a2941XFz0tm9FVpY.html?lid=4GheoLrpdiX.search.89&securityId=5Y331jzgaeSGE-c1fWWjYR23TfGkvdgieOUPhfj3PnIyJqOVjUfY-njIHdO8f_UCkjOny-R6zQ2yEUZp5-Uzv39y_RJtb0gEEqFkl_awzhFva2WfNcw~&sessionId=,7-12K,木牛机器人,长沙,经验不限,本科,Python 计算机相关专业 机器学习建模经验 金融行业数据相关经验,,20-99人,计算机硬件,五险一金 年终奖 股票期权 带薪年假 员工旅游 包吃 节日福利 零食下午茶
电商数据分析包住（2023届）,https://www.zhipin.com/job_detail/dcdea8e0e2d7a4161X1z0tm7F1tW.html?lid=4GheoLrpdiX.search.90&securityId=xn7ofc_VRHFo2-z1w4UWtjj2wxPqgDyRwsklyw0cliYjhQNQ0IOV3pUKUxs-nDyYkuxuWoIP4Tbiz-hNVrkm11uJg8ToMN1HcMU2ZZwUokPeG98qULw~&sessionId=,5-8K·13薪,青色柠檬,长沙,经验不限,本科,数学/统计相关专业,不需要融资,100-499人,电子商务,年终奖 交通补助 节日福利 孝顺基金 五险 包住
数据分析师,https://www.zhipin.com/job_detail/482100d8f07f1a7d1HR_2tm_GFRR.html?lid=4GheoLrpdiX.search.91&securityId=iFPfltD5189mB-21KxyQOlrFeysbdeQumuNnbqAqAdRUrbJwkE4spUW5rKx4aPtY9GGPePR9wR3nc5enhHco1jS1oWB3an3KVw2RockAs70--4L9O9k~&sessionId=,6-7K,湖南旭影,长沙,1-3年,本科,SQL,,0-20人,广播/影视,
数据分析师,https://www.zhipin.com/job_detail/5a6327b0afdaa3620HV709y_GVo~.html?lid=4GheoLrpdiX.search.92&securityId=GHTalOZMxTt44-B1aVZUbLDFBM64vRDF-oNQ_ArARN_3scXNbRBYN6y6wKbHhTxhyzMd6sYlqby2ejvS1Ylkvt6yL6uaQxOONEU6jNA4H0T9UOfV&sessionId=,10-15K,长沙沃邦,长沙,3-5年,本科,SQL Python 数学/统计相关专业 机器学习建模经验 VBA SPSS 建模,不需要融资,20-99人,企业服务,节日福利 零食下午茶 正常节假日 五险
数据分析师（算法方向）,https://www.zhipin.com/job_detail/5ac7e9f8326127b81Xx_29S0EFtY.html?lid=4GheoLrpdiX.search.93&securityId=REXgR2a2i25tE-9190BJdHr-wr5wO-0HSP02qhTfN_wQ7HLaQbTwBgP13MI4Wx64psODlVETUy7JNbpCtGF2sw7Bkny76jC09UIocmeaWT1NxvhnEQ~~&sessionId=,15-20K,国交空间,长沙,3-5年,本科,算法,未融资,100-499人,政府/公共事业,工作日午餐 节日福利 团建聚餐 员工旅游 带薪年假 股票期权 年终奖 定期体检 意外险 补充医疗保险 五险一金
商业数据分析工程师,https://www.zhipin.com/job_detail/4298ed51e4dd2a8a33Z829S6EVM~.html?lid=4GheoLrpdiX.search.94&securityId=tfUgaBgxTgQOK-U1y_j6cF6_izXezcsA0qtGkLMGid8kpCEJ8ceyVer2-Hy9LoLw7mSrXb-jTwukubv3Cg_0lx-DoLzahayNS7UKOUKfgVugxmuV&sessionId=,4-5K,珠宝通,长沙,1-3年,本科,数据分析 商业分析 数据挖掘,未融资,100-499人,企业服务,定期体检 全勤奖 带薪年假 员工旅游 餐补 通讯补贴 交通补助 节日福利 零食下午茶 生日福利 住房补贴 团建聚餐 加班补助 绩效奖金 年终奖 家庭医生 社保（五险）
数据分析师~双休（急聘）,https://www.zhipin.com/job_detail/2932c7f0d3dfb1581X1z09i6EFtY.html?lid=4GheoLrpdiX.search.95&securityId=Qbc7JmpDRaQYp-21N1juqj7NnnYXhk6XxrGrbLdAo0w6YVEf397BmA-fY23VcOoPQ7ll5-Kj89_hNGMp_O2CDsBMCZ74NRZGOs0aMirfrTA8y2aw&sessionId=,15-25K,杰之龙,长沙,3-5年,本科,SQL Tableau 数学/统计相关专业 Excel 数据分析,不需要融资,1000-9999人,通信/网络设备,五险一金 加班补助 全勤奖 年终奖 带薪年假 节日福利 住房补贴 零食下午茶
数据挖掘 & 算法工程师,https://www.zhipin.com/job_detail/f0315662f037e5a51X183Nu8E1dY.html?lid=4GheoLrpdiX.search.96&securityId=rX5UPHJ6JcWaL-L17wQIneCU5GdD97ebyjUGOii-yBpZg4xTjCJHgF1KwC6Xypm9REaEp_okEtTsPDTmldkq8HK5g_u7nDAgiKnGVmOzhzT3mWBK&sessionId=,35-55K,某知名文化公司,长沙,5-10年,本科,销量预测 新品预测 商品预测,,,,生日福利 节日福利 高温补贴 团建聚餐 零食下午茶 员工旅游 带薪年假 工龄奖 法定节假日三薪 节假日加班费 夜班补助 加班补助 股票期权 底薪加提成 保底工资 绩效奖金 定期体检 意外险 补充医疗保险 五险一金
数据分析师,https://www.zhipin.com/job_detail/377b60a3bf1af1321XJy09i1EVtZ.html?lid=4GheoLrpdiX.search.97&securityId=lERVRnMtFhYe3-u1odL2cd66tKyz10MA6hKVzDWMJNHjeoyu6-I-aw6gqZJHw-db6eQRV4fw_GuM5VDL1tAvQa1vSC0R6C2ADE9TZud-yWReBM52tg~~&sessionId=,4-7K,辰月科技,长沙,1-3年,本科,投放数据分析 营销活动效果分析 业务数据分析 数据分析/商业分析经验 金融/经济相关专业 统计/数学相关专业 市场营销,未融资,100-499人,数据服务,生日福利 节日福利 带薪年假 加班补助 股票期权 年终奖 五险一金
数据专员,https://www.zhipin.com/job_detail/47c75e8c063396a21HR73tq5E1ZY.html?lid=4GheoLrpdiX.search.99&securityId=IIBamoTWI1e26-S1xOkaFIfEu5CCHwHhrYCiO6m1WUxmgyDUbLBE7bcZo4BZK8QOusYHq_zVrqmgqaxpO-uz_AIZQKcJaU2DnqiUZLXgoAwuGKbxgGsu&sessionId=,6-8K,谷医堂(湖南)健...,长沙,1-3年,本科,业务数据分析,不需要融资,1000-9999人,医疗健康,生日福利 节日福利 通讯补贴 团建聚餐 零食下午茶 员工旅游 带薪年假 全勤奖 绩效奖金 年终奖 意外险 补充医疗保险 休假 五险
